Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,5.32,5.36,4.95,5,5,8346200
1/3/2020,4.98,5.11,4.9,4.96,4.96,3996100
1/6/2020,4.94,5.02,4.71,4.81,4.81,6829000
1/7/2020,4.78,4.83,4.66,4.71,4.71,3810900
1/8/2020,4.67,4.91,4.52,4.76,4.76,6541200
1/9/2020,4.8,4.88,4.69,4.83,4.83,4947000
1/10/2020,4.82,4.975,4.71,4.94,4.94,4065000
1/13/2020,4.98,5.49,4.81,5.45,5.45,10339400
1/14/2020,5.02,5.32,4.87,4.99,4.99,14732500
1/15/2020,5.1,5.48,5.06,5.24,5.24,9642600
1/16/2020,5.36,5.46,5.09,5.19,5.19,8242800
1/17/2020,5.16,5.33,5.08,5.27,5.27,6649800
1/21/2020,5.48,5.63,5.3,5.32,5.32,8544000
1/22/2020,5.4,5.835,5.32,5.71,5.71,12108400
1/23/2020,5.74,5.98,5.54,5.76,5.76,8403200
1/24/2020,6,6,5.21,5.27,5.27,15289800
1/27/2020,5.17,5.17,4.85,4.85,4.85,9703800
1/28/2020,4.96,5.05,4.81,5,5,6911000
1/29/2020,5.02,5.035,4.85,4.87,4.87,4644900
1/30/2020,4.85,4.91,4.74,4.81,4.81,5111100
1/31/2020,4.79,4.799,4.62,4.66,4.66,5307600
2/3/2020,4.68,4.78,4.57,4.6,4.6,4276600
2/4/2020,4.67,4.81,4.6,4.75,4.75,5267600
2/5/2020,4.8,4.845,4.59,4.61,4.61,4138600
2/6/2020,4.62,4.639,4.365,4.39,4.39,5596200
2/7/2020,4.25,4.32,4.09,4.22,4.22,6954700
2/10/2020,4.23,4.28,4.07,4.1,4.1,4297200
2/11/2020,4.13,4.39,4.07,4.24,4.24,6916000
2/12/2020,4.36,4.38,4.08,4.11,4.11,5709300
2/13/2020,4.11,4.24,4.04,4.16,4.16,4310900
2/14/2020,4.51,4.53,4.23,4.31,4.31,7046300
2/18/2020,4.29,4.35,4.21,4.22,4.22,4230000
2/19/2020,4.22,4.28,4.17,4.23,4.23,3135800
2/20/2020,4.22,4.46,4.21,4.26,4.26,5917600
2/21/2020,4.26,4.279,4.13,4.14,4.14,3835900
2/24/2020,3.98,4.025,3.82,3.92,3.92,6360200
2/25/2020,3.98,4,3.78,3.83,3.83,5396600
2/26/2020,3.78,3.95,3.78,3.82,3.82,5102700
2/27/2020,3.73,3.765,3.44,3.5,3.5,9157200
2/28/2020,3.39,3.66,3.31,3.66,3.66,6973400
3/2/2020,3.69,3.72,3.41,3.5,3.5,6945900
3/3/2020,3.42,3.55,3.25,3.32,3.32,4623700
3/4/2020,3.43,3.64,3.32,3.59,3.59,5462000
3/5/2020,3.5,3.52,3.35,3.35,3.35,3979100
3/6/2020,3.25,3.35,3.1,3.15,3.15,4653400
3/9/2020,2.83,3.08,2.73,2.84,2.84,4811400
3/10/2020,3.02,3.03,2.81,2.94,2.94,3146900
3/11/2020,2.89,2.99,2.69,2.7,2.7,4903900
3/12/2020,2.36,2.49,2.17,2.19,2.19,5973400
3/13/2020,2.35,2.37,2.06,2.25,2.25,5321200
3/16/2020,1.97,2.3,1.95,2.15,2.15,4125200
3/17/2020,2.2,2.31,2.02,2.16,2.16,3669800
3/18/2020,2.11,2.23,1.95,2.13,2.13,4451000
3/19/2020,2.18,2.55,2.07,2.36,2.36,7865100
3/20/2020,2.55,2.77,2.48,2.51,2.51,6219400
3/23/2020,2.74,2.74,2.47,2.54,2.54,4513100
3/24/2020,2.75,2.76,2.6,2.7,2.7,4430400
3/25/2020,2.75,3.06,2.65,2.93,2.93,6604800
3/26/2020,2.95,3.605,2.94,3.32,3.32,9640500
3/27/2020,3.41,3.52,3.23,3.29,3.29,6357100
3/30/2020,3.21,3.28,3.01,3.08,3.08,4064500
3/31/2020,3.02,3.249,2.96,3.06,3.06,4529400
4/1/2020,2.95,3.036,2.8,2.86,2.86,3154600
4/2/2020,2.87,3.035,2.8,2.89,2.89,3796800
4/3/2020,2.92,2.97,2.79,2.82,2.82,2788500
4/6/2020,2.96,3.16,2.89,3,3,4011700
4/7/2020,3.22,3.247,2.97,3.04,3.04,4543500
4/8/2020,3.06,3.23,2.99,3.19,3.19,5248600
4/9/2020,3.25,3.29,3.105,3.2,3.2,3629700
4/13/2020,3.22,3.48,3.15,3.47,3.47,6370100
4/14/2020,3.61,3.75,3.5,3.64,3.64,7884400
4/15/2020,4.24,4.3,3.64,3.77,3.77,22135800
4/16/2020,3.82,3.87,3.39,3.57,3.57,10506300
4/17/2020,3.7,3.79,3.58,3.6,3.6,6960800
4/20/2020,3.54,3.57,3.35,3.44,3.44,13964600
4/21/2020,3.33,3.41,3.23,3.29,3.29,5181500
4/22/2020,3.33,3.38,3.23,3.28,3.28,5508200
4/23/2020,3.29,3.4,3.26,3.4,3.4,5868400
4/24/2020,3.4,3.55,3.31,3.54,3.54,4606100
4/27/2020,3.64,3.88,3.595,3.74,3.74,10722100
4/28/2020,3.85,3.87,3.57,3.63,3.63,6781000
4/29/2020,3.69,3.75,3.62,3.67,3.67,4112600
4/30/2020,3.65,3.69,3.53,3.59,3.59,3847000
5/1/2020,3.52,3.52,3.32,3.39,3.39,4206800
5/4/2020,3.4,3.58,3.33,3.56,3.56,4188600
5/5/2020,3.6,3.735,3.575,3.6,3.6,6225400
5/6/2020,3.7,3.72,3.625,3.64,3.64,3472600
5/7/2020,3.65,3.78,3.64,3.69,3.69,3039800
5/8/2020,3.6,3.65,3.4,3.44,3.44,9971700
5/11/2020,3.45,3.45,3.22,3.26,3.26,9178100
5/12/2020,3.26,3.35,3.17,3.19,3.19,4975500
5/13/2020,3.17,3.18,2.91,2.96,2.96,7373400
5/14/2020,2.88,3.13,2.78,3.02,3.02,6112200
5/15/2020,3.15,3.39,3.06,3.36,3.36,11101600
5/18/2020,3.51,3.69,3.45,3.58,3.58,8230900
5/19/2020,3.67,3.67,3.39,3.54,3.54,8254900
5/20/2020,3.6,3.63,3.47,3.63,3.63,6656500
5/21/2020,3.65,3.99,3.61,3.95,3.95,13660100
5/22/2020,3.96,4.09,3.725,4.04,4.04,13846500
5/26/2020,4.26,4.33,4.02,4.22,4.22,12922400
5/27/2020,4.27,4.3,3.96,4.19,4.19,9586000
5/28/2020,4.2,4.53,4.12,4.31,4.31,9854400
5/29/2020,4.08,4.27,4,4.23,4.23,7146200
6/1/2020,4.2,4.53,4.15,4.44,4.44,8070400
6/2/2020,4.49,4.57,4.35,4.5,4.5,7644600
6/3/2020,4.52,4.62,4.44,4.46,4.46,6186000
6/4/2020,4.44,4.52,4.38,4.44,4.44,5350000
6/5/2020,4.52,4.52,4.33,4.39,4.39,6076800
6/8/2020,4.42,5.01,4.41,4.98,4.98,11790400
6/9/2020,4.91,5.248,4.83,5.06,5.06,10777500
6/10/2020,5.15,5.2,4.86,4.92,4.92,7768300
6/11/2020,4.65,4.778,4.24,4.24,4.24,8973200
6/12/2020,4.52,4.53,4.25,4.33,4.33,4688200
6/15/2020,4.19,4.49,4.112,4.48,4.48,4414400
6/16/2020,4.63,4.64,4.41,4.48,4.48,5131000
6/17/2020,4.46,4.497,4.315,4.36,4.36,3463700
6/18/2020,4.37,4.56,4.31,4.49,4.49,3363600
6/19/2020,4.52,4.575,4.37,4.44,4.44,3440800
6/22/2020,4.4,4.45,4.35,4.45,4.45,2170300
6/23/2020,4.45,4.69,4.4,4.43,4.43,5908200
6/24/2020,4.43,4.485,4.18,4.28,4.28,5161300
6/25/2020,4.23,4.28,4.1,4.23,4.23,4186100
6/26/2020,4.18,4.19,4.02,4.07,4.07,3460700
6/29/2020,4.06,4.29,3.96,4.29,4.29,4141000
6/30/2020,4.28,4.36,4.18,4.29,4.29,3902800
