Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,216.600006,219.979996,216.539993,219.770004,219.770004,15873500
1/3/2020,216.350006,218.203003,216.009995,217,217,8604500
1/6/2020,214.889999,217.160004,214.089996,216.639999,216.639999,11885500
1/7/2020,217.639999,218.940002,216.690002,217.630005,217.630005,9388000
1/8/2020,216.600006,220.649994,216.320007,218,218,11959100
1/9/2020,221.5,223.080002,220.820007,221.779999,221.779999,13122500
1/10/2020,223.899994,225.960007,222.061005,223.830002,223.830002,12296000
1/13/2020,228.809998,231.139999,227.039993,230.479996,230.479996,17544800
1/14/2020,230.050003,230.175003,224.880005,226.490005,226.490005,17266900
1/15/2020,226.649994,227.820007,224.389999,225.059998,225.059998,10743400
1/16/2020,226.300003,226.330002,222.729996,223.940002,223.940002,13700500
1/17/2020,225.899994,228,225.350006,227.429993,227.429993,12956200
1/21/2020,222.449997,222.600006,220.729996,222.259995,222.259995,15831100
1/22/2020,224.690002,225.580002,222,222.369995,222.369995,10059600
1/23/2020,217.929993,220.130005,216.770004,219.130005,219.130005,18519900
1/24/2020,218.490005,219.830002,211.324997,213.75,213.75,18143900
1/27/2020,201.220001,208.020004,199.5,205.470001,205.470001,24574700
1/28/2020,209.740005,210.910004,207.169998,210.229996,210.229996,16196700
1/29/2020,212.559998,213.979996,209.520004,212.020004,212.020004,12871900
1/30/2020,207.880005,209.860001,205.029999,208.580002,208.580002,14376000
1/31/2020,206.5,207.929993,204.727997,206.589996,206.589996,18181400
2/3/2020,208.669998,215.020004,208.669998,213.100006,213.100006,14131900
2/4/2020,221.350006,224.380005,220.490005,222.880005,222.880005,16695100
2/5/2020,226.520004,226.699997,217.539993,220.220001,220.220001,15766100
2/6/2020,223.130005,223.649994,219.779999,220.899994,220.899994,10790800
2/7/2020,217.460007,217.839996,214.880005,216.529999,216.529999,13790300
2/10/2020,213.5,215.770004,212.199997,215.770004,215.770004,17420300
2/11/2020,219.910004,220.009995,215.289993,217.210007,217.210007,16073500
2/12/2020,221.130005,225.520004,220.210007,224.309998,224.309998,18671900
2/13/2020,220,225,218.990005,220.360001,220.360001,28069700
2/14/2020,221.100006,221.639999,218.229996,219.630005,219.630005,10690000
2/18/2020,218.550003,220.850006,217.509995,220.520004,220.520004,12987000
2/19/2020,221.520004,223.559998,220.75,222.139999,222.139999,10798100
2/20/2020,222.5,222.5,214.220001,218.039993,218.039993,14950100
2/21/2020,217.539993,217.600006,211.559998,212.589996,212.589996,17681200
2/24/2020,203.550003,207.279999,202.509995,206.160004,206.160004,19380200
2/25/2020,208.509995,209.949997,204.100006,205.610001,205.610001,18132400
2/26/2020,206.800003,213.080002,206.789993,208.740005,208.740005,19482100
2/27/2020,205.009995,209.970001,201.860001,205.029999,205.029999,22741200
2/28/2020,198.979996,208.919998,198.561005,208,208,31276200
3/2/2020,208.589996,211.110001,203.755997,210.979996,210.979996,21542200
3/3/2020,211.080002,211.389999,202.240005,207.410004,207.410004,20813800
3/4/2020,209.490005,212.699997,208.850006,211.960007,211.960007,12474400
3/5/2020,210,215.149994,209.139999,211.460007,211.460007,13462900
3/6/2020,206.699997,207,201.100006,204.639999,204.639999,21700500
3/9/2020,195.619995,199.889999,193.929993,197.660004,197.660004,25502600
3/10/2020,205.529999,207.449997,200.800003,206.389999,206.389999,19022600
3/11/2020,201.649994,203.100006,196.110001,198.910004,198.910004,18908200
3/12/2020,186.5,190.487,183.929993,185.100006,185.100006,30247100
3/13/2020,194.899994,195.990005,187.809998,194,194,23650500
3/16/2020,176.149994,188,174.5,178.850006,178.850006,26628500
3/17/2020,181.259995,189.389999,179.690002,184.809998,184.809998,19276500
3/18/2020,176,182.410004,170,180,180,22054200
3/19/2020,179.259995,187.25,177.389999,180.880005,180.880005,20905700
3/20/2020,187.740005,188.300003,180,181.300003,181.300003,21006100
3/23/2020,175.270004,178.5,169.949997,176.339996,176.339996,22554700
3/24/2020,183.089996,188.800003,181.179993,185.75,185.75,20801500
3/25/2020,185.820007,195.190002,184.514999,188.559998,188.559998,19605200
3/26/2020,188.639999,196.320007,187.600006,195.320007,195.320007,15416800
3/27/2020,189.970001,192.740005,188,188.589996,188.589996,13376400
3/30/2020,187.479996,191.479996,187.009995,191.270004,191.270004,12254400
3/31/2020,192,196.789993,190.600006,194.479996,194.479996,19084800
4/1/2020,189.5,192.869995,185.039993,187.559998,187.559998,17948600
4/2/2020,186.080002,191.300003,185.692001,188.899994,188.899994,13412100
4/3/2020,190.119995,190.550003,185.410004,187.110001,187.110001,9483100
4/6/2020,194.740005,196.880005,192.699997,196.449997,196.449997,13248700
4/7/2020,200.050003,201.449997,197.050003,198,198,14934500
4/8/2020,198.339996,198.860001,193.884003,195.979996,195.979996,13608000
4/9/2020,198.649994,200.350006,193.399994,196.369995,196.369995,17821300
4/13/2020,197.399994,200.324997,195.529999,199.440002,199.440002,16117900
4/14/2020,204.949997,207.970001,204.25,204.779999,204.779999,16757100
4/15/2020,204.770004,209.149994,201.309998,208.169998,208.169998,10768100
4/16/2020,210.529999,213.25,209.119995,212.660004,212.660004,16296000
4/17/2020,214.979996,214.979996,208.850998,209.5,209.5,13558500
4/20/2020,209.869995,216.100006,209.360001,212.130005,212.130005,19295400
4/21/2020,209.899994,212.130005,205.029999,207.339996,207.339996,14107600
4/22/2020,212,212,209.210007,209.960007,209.960007,13486100
4/23/2020,210.240005,210.559998,203.460007,205.240005,205.240005,20424000
4/24/2020,205.889999,206.5,202.820007,204.360001,204.360001,14682400
4/27/2020,207.550003,207.779999,202.029999,203.690002,203.690002,17286800
4/28/2020,204.809998,205.190002,199.406998,201.149994,201.149994,17203800
4/29/2020,202.929993,207.080002,202.509995,206.699997,206.699997,19117800
