Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,3.8,3.82,3.65,3.77,3.77,1604600
1/3/2020,3.71,3.83,3.69,3.73,3.73,1515500
1/6/2020,3.76,4.28,3.65,4.21,4.21,4007000
1/7/2020,4.25,4.51,4.06,4.3,4.3,3533600
1/8/2020,4.23,4.63,4.21,4.4,4.4,3237100
1/9/2020,4.45,4.54,4.31,4.47,4.47,2040500
1/10/2020,4.49,4.5,4.31,4.37,4.37,3338800
1/13/2020,4.37,4.42,4.17,4.24,4.24,2301400
1/14/2020,4.25,4.41,4.12,4.38,4.38,2264000
1/15/2020,4.36,4.5,4.34,4.39,4.39,1395800
1/16/2020,4.39,4.4,4.22,4.28,4.28,1915700
1/17/2020,4.31,4.31,4.13,4.16,4.16,1427200
1/21/2020,4.17,4.2,3.97,4.12,4.12,1844400
1/22/2020,4.09,4.24,4.09,4.12,4.12,1254100
1/23/2020,4.11,4.26,4.02,4.2,4.2,1321800
1/24/2020,4.2,4.21,3.98,3.98,3.98,1921800
1/27/2020,3.97,4.08,3.84,4,4,1308600
1/28/2020,4.03,4.33,4.03,4.28,4.28,1925100
1/29/2020,4.28,4.52,4.28,4.33,4.33,1601600
1/30/2020,4.31,4.38,4.15,4.19,4.19,1136900
1/31/2020,4.17,4.24,4.07,4.11,4.11,1179800
2/3/2020,4.15,4.25,4.15,4.21,4.21,1352800
2/4/2020,4.17,4.34,4.17,4.25,4.25,1391200
2/5/2020,4.28,4.69,4.27,4.62,4.62,2587600
2/6/2020,4.65,4.68,4.43,4.5,4.5,1459000
2/7/2020,4.54,4.59,4.36,4.4,4.4,795300
2/10/2020,4.4,4.54,4.36,4.46,4.46,1595800
2/11/2020,4.52,4.7,4.44,4.59,4.59,1522400
2/12/2020,4.63,4.77,4.59,4.68,4.68,1165400
2/13/2020,4.64,4.9,4.61,4.77,4.77,1598800
2/14/2020,4.89,4.93,4.77,4.77,4.77,1473000
2/18/2020,4.85,5.19,4.76,5.13,5.13,2473300
2/19/2020,5.21,5.22,4.97,5.14,5.14,2235500
2/20/2020,5.15,5.28,5.04,5.2,5.2,1962000
2/21/2020,5.2,5.27,5,5.21,5.21,2255700
2/24/2020,4.95,5.13,4.8,4.91,4.91,2928900
